,year,district,aq,lat,long
0,2017,Stadt München,134.5,48.1371079,11.5753822
1,2017,Altstadt - Lehel,161.3,48.1378285,11.5745823
2,2017,Ludwigsvorstadt - Isarvorstadt,107.2,48.1303398,11.5733658
3,2017,Maxvorstadt,138.7,48.1510916,11.5624179
4,2017,Schwabing - West,148.6,48.1682709,11.5698727
5,2017,Au - Haidhausen,112.1,48.1287531,11.5905362
6,2017,Sendling,127.8,48.1180125,11.5390832
7,2017,Sendling - Westpark,141.6,48.11803085,11.519332770284128
8,2017,Schwanthalerhöhe,101.5,48.1337822,11.5410566
9,2017,Neuhausen - Nymphenburg,134.9,48.1542217,11.5315172
10,2017,Moosach,138.1,48.1798949,11.5105712
11,2017,Milbertshofen - Am Hart,122.5,48.1823848,11.5750432
12,2017,Schwabing - Freimann,118.4,48.1892784,11.60858258301819
13,2017,Bogenhausen,155.8,48.1547823,11.6334838
14,2017,Berg am Laim,126.5,48.1234833,11.6334511
15,2017,Trudering - Riem,87.4,48.1231749,11.6640782
16,2017,Ramersdorf - Perlach,141.3,48.100894249999996,11.633370907753356
17,2017,Obergiesing - Fasangarten,122.8,48.1111557,11.5889093
18,2017,Untergiesing - Harlaching,161.9,48.1149632,11.5701894
19,2017,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,162.5,48.0842133,11.508050993496012
20,2017,Hadern,176.4,48.118064,11.4818417
21,2017,Pasing - Obermenzing,134.8,48.15236275,11.468434085049713
22,2017,Aubing - Lochhausen - Langwied,129.5,48.16505875,11.40022147296721
23,2017,Allach - Untermenzing,128.5,48.19515735,11.462973336774297
24,2017,Feldmoching - Hasenbergl,122.6,48.21846185,11.520409083159603
25,2017,Laim,172.5,48.1395506,11.5021658
